Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1 uF","C_0402_1005Metric",164.000000,-82.420000,-90.000000,top
"C2","0.1 uF","C_0402_1005Metric",163.430000,-71.110000,90.000000,top
"C3","1 uF","C_0402_1005Metric",160.210000,-67.060000,90.000000,top
"C4","1 uF","C_0402_1005Metric",165.450000,-71.490000,90.000000,top
"C5","0.1 uF","C_0402_1005Metric",166.730000,-77.590000,0.000000,top
"C6","0.1 uF","C_0402_1005Metric",165.910000,-72.980000,0.000000,top
"C7","0.1 uF","C_0402_1005Metric",154.750000,-77.580000,180.000000,top
"C8","0.1 uF","C_0402_1005Metric",156.360000,-71.610000,135.000000,top
"C9","0.1 uF","C_0402_1005Metric",164.420000,-71.500000,90.000000,top
"C10","0.1 uF","C_0402_1005Metric",161.300000,-67.620000,90.000000,top
"C11","0.1 uF","C_0402_1005Metric",162.920000,-82.460000,-90.000000,top
"C12","0.1 uF","C_0402_1005Metric",162.350000,-66.990000,90.000000,top
"C13","10 uF","C_0603_1608Metric",156.785000,-55.350000,180.000000,top
"C14","10 uF","C_0603_1608Metric",157.780000,-60.975000,180.000000,top
"C15","15 pF","C_0402_1005Metric",155.870000,-84.500000,-90.000000,top
"C16","15 pF","C_0402_1005Metric",162.900000,-84.490000,90.000000,top
"C17","0.1 uF","C_0402_1005Metric",158.110000,-66.270000,180.000000,top
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",160.130000,-91.310000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",160.650000,-49.250000,180.000000,top
"J2","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",169.540000,-48.120000,0.000000,top
"J4","Conn_01x20","PinHeader_1x20_P2.54mm_Vertical",151.760000,-48.120000,0.000000,top
"J5","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",158.110000,-96.140000,90.000000,top
"R1","5.1K","R_0402_1005Metric",163.110000,-55.830000,0.000000,top
"R2","5.1K","R_0402_1005Metric",159.340000,-55.160000,180.000000,top
"R3","27","R_0402_1005Metric",161.330000,-70.620000,-90.000000,top
"R4","27","R_0402_1005Metric",162.370000,-70.620000,-90.000000,top
"R5","1K","R_0402_1005Metric",160.920000,-81.600000,180.000000,top
"R6","10K","R_0402_1005Metric",156.060000,-66.260000,180.000000,top
"R7","1K","R_0402_1005Metric",157.550000,-63.930000,0.000000,top
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK",164.420000,-61.330000,90.000000,top
"U1","RP2040","QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm",160.650000,-76.250000,0.000000,top
"U3","W25Q128JVS","Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm",157.125000,-68.070000,0.000000,top
"U4","MCP1700x-330xxTT","SOT-23",157.770000,-58.112500,90.000000,top
"Y1","12 MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering",159.330000,-84.580000,180.000000,top
